特約商店名稱,營業地址
５０嵐綠茶連鎖專賣店小港中安店,高雄市小港區 中安路６３６號
５０嵐綠茶連鎖專賣店小港店,高雄市小港區 崇文路８５號
５０嵐綠茶連鎖專賣店小港店,高雄市小港區 崇文路８５號
５０嵐綠茶連鎖專賣店山東店,高雄市三民區 山東街１２４號１樓
５０嵐綠茶連鎖專賣店中山中正店,高雄市新興區 中山橫路６號
５０嵐綠茶連鎖專賣店中山中正店,高雄市新興區 中山橫路６號
５０嵐綠茶連鎖專賣店中山店,高雄市鳳山區 五甲一路２８號１樓
５０嵐綠茶連鎖專賣店中正神農店,高雄市鳥松區 中正路５４號１樓
５０嵐綠茶連鎖專賣店中正神農店,高雄市鳥松區 中正路５４號１樓
５０嵐綠茶連鎖專賣店中華新光店,高雄市前鎮區 中華五路１４５７號
５０嵐綠茶連鎖專賣店中華新光店,高雄市前鎮區 中華五路１４５７號
５０嵐綠茶連鎖專賣店五甲南華店,高雄市鳳山區 南華路１５１號１樓
５０嵐綠茶連鎖專賣店五甲南華店,高雄市鳳山區 南華路１５１號１樓
５０嵐綠茶連鎖專賣店五甲國泰店,高雄市鳳山區 五甲一路２２２號１樓
５０嵐綠茶連鎖專賣店五福鹽埕店,高雄市鹽埕區 五福四路１３４號
５０嵐綠茶連鎖專賣店五福鹽埕店,高雄市鹽埕區 五福四路１３４號
５０嵐綠茶連鎖專賣店內惟店,高雄市鼓山區 九如四路１４３４號
５０嵐綠茶連鎖專賣店六合店,高雄市苓雅區 六合路４２之３號
５０嵐綠茶連鎖專賣店六合店,高雄市苓雅區 六合路４２之３號
５０嵐綠茶連鎖專賣店左大店,高雄市左營區 左營大路４９號１樓
５０嵐綠茶連鎖專賣店左大聖公店,高雄市左營區 左營大路２８１號１樓
５０嵐綠茶連鎖專賣店民權民生店,高雄市新興區 民生一路１５６號１樓
５０嵐綠茶連鎖專賣店民權民生店,高雄市新興區 民生一路１５６號１樓
５０嵐綠茶連鎖專賣店光明新厝店,高雄市大寮區 光明路１段１５號
５０嵐綠茶連鎖專賣店光明新厝店,高雄市大寮區 光明路１段１５號
５０嵐綠茶連鎖專賣店光華夜市店,高雄市前鎮區 光華二路３０９號１樓
５０嵐綠茶連鎖專賣店光華夜市店,高雄市前鎮區 光華二路３０９號１樓
５０嵐綠茶連鎖專賣店光遠黃埔店,高雄市鳳山區 光遠路６３號
５０嵐綠茶連鎖專賣店光遠黃埔店,高雄市鳳山區 光遠路６３號
５０嵐綠茶連鎖專賣店自立七賢店,高雄市前金區 自立一路４３號
５０嵐綠茶連鎖專賣店自立七賢店,高雄市前金區 自立一路４３號
５０嵐綠茶連鎖專賣店自立六合店,高雄市新興區 自立二路１２６號
５０嵐綠茶連鎖專賣店自立六合店,高雄市新興區 自立二路１２６號
５０嵐綠茶連鎖專賣店自強中正店,高雄市前金區 自強二路１８０號
５０嵐綠茶連鎖專賣店自強中正店,高雄市前金區 自強二路１８０號
５０嵐綠茶連鎖專賣店自強青年店,高雄市苓雅區 自強三路１６９號
５０嵐綠茶連鎖專賣店自強青年店,高雄市苓雅區 自強三路１６９號
５０嵐綠茶連鎖專賣店明誠富民店,高雄市左營區 明誠二路４９３號
５０嵐綠茶連鎖專賣店明誠富民店,高雄市左營區 明誠二路４９３號
５０嵐綠茶連鎖專賣店林泉店,高雄市苓雅區 林泉街７４號
５０嵐綠茶連鎖專賣店林泉店,高雄市苓雅區 林泉街７４號
５０嵐綠茶連鎖專賣店林森八德店,高雄市新興區 林森一路２６６號
５０嵐綠茶連鎖專賣店林園文化店,高雄市林園區 文化街１３１號１樓
５０嵐綠茶連鎖專賣店林園文化店,高雄市林園區 文化街１３１號１樓
５０嵐綠茶連鎖專賣店林園東林店,高雄市林園區 東林西路１８９號１樓
５０嵐綠茶連鎖專賣店林園東林店,高雄市林園區 東林西路１８９號１樓
５０嵐綠茶連鎖專賣店林園高中店,高雄市林園區 林園北路５０９號１樓
５０嵐綠茶連鎖專賣店林園高中店,高雄市林園區 林園北路５０９號１樓
５０嵐綠茶連鎖專賣店武慶店,高雄市前鎮區 武慶二路３９號１樓
５０嵐綠茶連鎖專賣店武慶店,高雄市前鎮區 武慶二路３９號１樓
５０嵐綠茶連鎖專賣店阿蓮忠孝店,高雄市阿蓮區 忠孝路１３２號１樓
５０嵐綠茶連鎖專賣店阿蓮忠孝店,高雄市阿蓮區 忠孝路１３２號１樓
５０嵐綠茶連鎖專賣店青年店,高雄市苓雅區 青年一路１７９之２號１樓
５０嵐綠茶連鎖專賣店青年店,高雄市苓雅區 青年一路１７９之２號１樓
５０嵐綠茶連鎖專賣店哈瑪星臨海店,高雄市鼓山區 臨海二路４１號１樓
５０嵐綠茶連鎖專賣店建工店,高雄市三民區 建工路６１６號１樓
５０嵐綠茶連鎖專賣店建工店,高雄市三民區 建工路６１６號１樓
５０嵐綠茶連鎖專賣店建國中山店,高雄市三民區 建國二路２７３號
５０嵐綠茶連鎖專賣店後昌店,高雄市楠梓區 後昌路８１５號１樓
５０嵐綠茶連鎖專賣店後勁店,高雄市楠梓區 後昌路９３號１樓
５０嵐綠茶連鎖專賣店美術東八店,高雄市鼓山區 美術東八街１２５號１樓
５０嵐綠茶連鎖專賣店美術東八店,高雄市鼓山區 美術東八街１２５號１樓
５０嵐綠茶連鎖專賣店草衙店,高雄市前鎮區 草衙二路４４５號１樓
５０嵐綠茶連鎖專賣店草衙店,高雄市前鎮區 草衙二路４４５號１樓
５０嵐綠茶連鎖專賣店高雄總倉,高雄市鳥松區 大華路２１４巷４弄３１號１樓
